Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1758630401,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1758630403,2,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1758630405,4,,Aggregated,0.000000,0.000000,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,2,1,3787.0339000364766,3786.5301000420004,3786.0263000475243,3787.0339000364766,51.5
1758630407,8,,Aggregated,0.000000,0.000000,3500,3800,3800,3800,3800,3800,3800,3800,3800,3800,3800,5,2,3500.0,3120.9867200115696,1811.2772000022233,3787.0339000364766,50.0
1758630409,10,,Aggregated,0.500000,0.166667,3500,3700,3700,3800,3800,3800,3800,3800,3800,3800,3800,10,3,2700.0,2953.9137299987487,1811.2772000022233,3787.0339000364766,52.8
1758630410,10,,Aggregated,0.714286,0.285714,2700,3600,3700,3700,3800,3800,3800,3800,3800,3800,3800,16,4,2700.0,2732.8404250074527,1733.0256999703124,3787.0339000364766,52.625
1758630411,10,,Aggregated,0.625000,0.250000,1700,1900,2700,3500,3700,3800,3800,3800,3800,3800,3800,33,4,1700.0,1503.2302606180592,117.13659996166825,3787.0339000364766,53.96969696969697
1758630412,10,,Aggregated,1.111111,0.333333,260,1800,1900,2700,3700,3800,3800,3800,3800,3800,3800,38,5,230.0,1324.9291868506637,108.11190004460514,3787.0339000364766,53.026315789473685
1758630413,10,,Aggregated,2.100000,0.400000,150,1700,1900,1900,3600,3700,3800,3800,3800,3800,3800,46,7,140.0,1115.5144717473456,107.11530002299696,3787.0339000364766,52.08695652173913
1758630414,10,,Aggregated,3.400000,0.400000,140,1700,1800,1900,3600,3700,3800,3800,3800,3800,3800,52,9,130.0,1003.038703855754,107.11530002299696,3787.0339000364766,51.78846153846154
1758630415,10,,Aggregated,3.800000,0.500000,140,260,1700,1800,3500,3700,3800,3800,3800,3800,3800,63,10,140.0,858.6795968354664,107.11530002299696,3787.0339000364766,53.95238095238095
1758630416,10,,Aggregated,4.800000,0.800000,130,210,280,1700,2700,3700,3800,3800,3800,3800,3800,73,12,130.0,759.8398178193897,106.03759996592999,3787.0339000364766,52.205479452054796
1758630417,10,,Aggregated,5.200000,0.900000,130,170,270,1700,2700,3600,3800,3800,3800,3800,3800,81,14,130.0,696.5074629715448,106.03759996592999,3787.0339000364766,52.2962962962963
1758630418,10,,Aggregated,6.300000,0.900000,130,150,220,270,1900,3600,3800,3800,3800,3800,3800,97,14,130.0,603.7313463994465,106.03759996592999,3787.0339000364766,53.22680412371134
1758630419,10,,Aggregated,7.100000,1.100000,130,150,210,270,1900,3600,3700,3800,3800,3800,3800,105,17,130.0,568.0600685788141,104.86379999201745,3787.0339000364766,52.98095238095238
1758630420,10,,Aggregated,7.600000,1.200000,130,150,190,230,1900,3600,3700,3800,3800,3800,3800,114,17,130.0,534.284900882069,104.86379999201745,3787.0339000364766,52.51754385964912
1758630421,10,,Aggregated,9.200000,1.200000,130,170,210,230,1800,3500,3700,3800,3800,3800,3800,124,20,130.0,507.54774193891564,104.86379999201745,3787.0339000364766,52.54032258064516
1758630422,10,,Aggregated,9.600000,1.400000,130,170,210,230,1800,3500,3700,3800,3800,3800,3800,131,23,130.0,490.6186816835321,104.86379999201745,3787.0339000364766,51.54961832061068
1758630423,10,,Aggregated,9.400000,1.300000,130,170,210,260,1800,3500,3700,3800,3800,3800,3800,135,24,130.0,481.93606741002037,104.86379999201745,3787.0339000364766,51.11851851851852
1758630424,10,,Aggregated,9.000000,1.600000,130,180,210,260,1700,2700,3700,3800,3800,3800,3800,145,25,130.0,461.6299151756062,104.86379999201745,3787.0339000364766,51.84827586206897
1758630425,10,,Aggregated,9.300000,1.800000,140,190,220,260,1700,2700,3700,3800,3800,3800,3800,160,25,130.0,437.178715626942,104.86379999201745,3787.0339000364766,52.3
1758630426,10,,Aggregated,8.700000,1.600000,140,190,210,250,1700,2700,3700,3800,3800,3800,3800,170,25,140.0,421.3949882363736,104.86379999201745,3787.0339000364766,52.476470588235294
1758630427,10,,Aggregated,9.500000,1.600000,140,190,210,250,1700,2700,3700,3800,3800,3800,3800,176,27,140.0,413.4398471605064,104.86379999201745,3787.0339000364766,52.39204545454545
1758630429,10,,Aggregated,9.600000,1.500000,140,190,210,250,310,1900,3700,3800,3800,3800,3800,185,31,140.0,401.8703540566856,104.86379999201745,3787.0339000364766,51.65945945945946
1758630430,10,,Aggregated,9.600000,1.300000,140,190,210,250,310,1900,3700,3800,3800,3800,3800,192,32,140.0,394.63569062718307,104.86379999201745,3787.0339000364766,51.65625
1758630431,10,,Aggregated,8.800000,1.700000,140,190,210,250,310,1900,3700,3800,3800,3800,3800,200,35,140.0,386.63016250065994,104.86379999201745,3787.0339000364766,51.41
1758630432,10,,Aggregated,8.800000,1.700000,140,190,210,240,310,1900,3600,3700,3800,3800,3800,206,37,140.0,380.65873009821814,104.86379999201745,3787.0339000364766,51.116504854368934
1758630433,10,,Aggregated,8.600000,1.500000,140,190,220,250,310,1900,3600,3700,3800,3800,3800,212,39,140.0,377.0684589640642,104.86379999201745,3787.0339000364766,50.886792452830186
1758630434,10,,Aggregated,8.400000,1.700000,150,200,220,250,310,1900,3600,3700,3800,3800,3800,216,40,140.0,374.61514166864583,104.86379999201745,3787.0339000364766,50.81018518518518
1758630435,10,,Aggregated,8.100000,1.600000,150,200,220,250,310,1900,3600,3700,3800,3800,3800,228,40,150.0,364.5202833342186,104.86379999201745,3787.0339000364766,51.31578947368421
1758630436,10,,Aggregated,8.100000,1.600000,160,200,220,240,310,1900,3600,3700,3800,3800,3800,238,42,160.0,357.14500588355116,104.86379999201745,3787.0339000364766,51.49579831932773
1758630437,10,,Aggregated,8.100000,1.600000,160,200,220,250,310,1800,3600,3700,3800,3800,3800,242,43,160.0,355.22599132348637,104.86379999201745,3787.0339000364766,51.243801652892564
1758630438,10,,Aggregated,7.800000,1.500000,160,200,220,240,310,1800,3600,3700,3800,3800,3800,247,44,160.0,351.24345506241673,104.86379999201745,3787.0339000364766,51.2914979757085
1758630439,10,,Aggregated,7.200000,1.800000,160,200,220,240,300,1800,3600,3700,3800,3800,3800,262,46,160.0,341.3820167952786,104.86379999201745,3787.0339000364766,51.30916030534351
1758630440,10,,Aggregated,7.200000,1.800000,160,200,220,240,300,1800,3600,3700,3800,3800,3800,265,47,160.0,339.94656679361077,104.86379999201745,3787.0339000364766,51.29433962264151
1758630441,10,,Aggregated,7.100000,1.700000,160,200,210,240,300,1800,3600,3700,3800,3800,3800,276,49,160.0,331.8207297120682,103.47319999709725,3787.0339000364766,51.42391304347826
1758630442,10,,Aggregated,7.300000,1.500000,150,190,210,230,290,1700,3600,3700,3800,3800,3800,286,51,150.0,324.6975122398202,103.47319999709725,3787.0339000364766,51.52447552447553
1758630443,10,,Aggregated,7.700000,1.500000,150,190,210,230,290,1700,3600,3700,3800,3800,3800,295,52,150.0,319.7398410182667,103.47319999709725,3787.0339000364766,51.616949152542375
1758630444,10,,Aggregated,7.700000,1.500000,150,200,220,240,290,1700,3500,3700,3800,3800,3800,301,53,150.0,318.32437907102707,103.47319999709725,3787.0339000364766,51.7641196013289
1758630445,10,,Aggregated,8.200000,1.300000,160,200,220,240,290,1700,3500,3700,3800,3800,3800,311,55,160.0,316.12658810388547,103.47319999709725,3787.0339000364766,51.742765273311896
1758630446,10,,Aggregated,8.500000,1.300000,170,200,220,240,290,1700,3500,3700,3800,3800,3800,323,56,170.0,311.12328699671724,103.47319999709725,3787.0339000364766,51.85139318885449
1758630447,10,,Aggregated,8.500000,1.500000,170,200,220,240,290,1700,3500,3700,3800,3800,3800,334,57,160.0,306.8357377245459,103.47319999709725,3787.0339000364766,51.9940119760479
1758630448,10,,Aggregated,8.400000,1.400000,170,200,220,240,290,1700,3500,3700,3800,3800,3800,347,58,170.0,301.973702593355,103.47319999709725,3787.0339000364766,52.20749279538905
1758630449,10,,Aggregated,8.900000,1.300000,170,200,220,240,290,1700,2700,3700,3800,3800,3800,355,58,170.0,299.3585425347064,103.47319999709725,3787.0339000364766,52.219718309859154
1758630450,10,,Aggregated,9.700000,1.400000,170,200,220,240,290,410,2700,3700,3800,3800,3800,367,60,170.0,295.73166076276624,103.47319999709725,3787.0339000364766,52.49591280653951
