Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/dev,652,0,54,71.57212019939085,39.78945300002579,1005.3511969999818,42.0,5.461003210140332,0.0,54,59,62,67,160,170,200,230,1000,1000,1000
POST,/dev/items,683,0,70,81.85725678477104,46.68985099999645,552.7198550000776,106.0,5.720652135775838,0.0,70,76,80,83,140,190,210,230,550,550,550
PUT,/dev/items,683,0,70,81.62156780234088,47.1796119999226,210.2035389999628,114.0,5.720652135775838,0.0,70,79,81,84,140,180,200,200,210,210,210
DELETE,/dev/items?id=00270ec3-0898-4a64-b591-c8cf186811a8,1,0,138.17118800000117,138.17118800000117,138.17118800000117,138.17118800000117,64.0,0.00837577179469376,0.0,140,140,140,140,140,140,140,140,140,140,140
GET,/dev/items?id=00270ec3-0898-4a64-b591-c8cf186811a8,1,0,122.79137400003037,122.79137400003037,122.79137400003037,122.79137400003037,69.0,0.00837577179469376,0.0,120,120,120,120,120,120,120,120,120,120,120
DELETE,/dev/items?id=00666cc2-8ccd-4004-b9b9-a88a03ade158,1,0,48.03222400005325,48.03222400005325,48.03222400005325,48.03222400005325,64.0,0.00837577179469376,0.0,48,48,48,48,48,48,48,48,48,48,48
GET,/dev/items?id=00666cc2-8ccd-4004-b9b9-a88a03ade158,1,0,53.470914000058656,53.470914000058656,53.470914000058656,53.470914000058656,69.0,0.00837577179469376,0.0,53,53,53,53,53,53,53,53,53,53,53
DELETE,/dev/items?id=0080c0f3-fc91-4c50-b8fe-9f4b609c7f32,1,0,78.70582599991849,78.70582599991849,78.70582599991849,78.70582599991849,64.0,0.00837577179469376,0.0,79,79,79,79,79,79,79,79,79,79,79
GET,/dev/items?id=0080c0f3-fc91-4c50-b8fe-9f4b609c7f32,1,0,144.4607050000286,144.4607050000286,144.4607050000286,144.4607050000286,69.0,0.00837577179469376,0.0,140,140,140,140,140,140,140,140,140,140,140
DELETE,/dev/items?id=0092d0b9-777a-4f18-bdf9-a430fdfcef37,1,0,83.31436999992547,83.31436999992547,83.31436999992547,83.31436999992547,64.0,0.00837577179469376,0.0,83,83,83,83,83,83,83,83,83,83,83
GET,/dev/items?id=0092d0b9-777a-4f18-bdf9-a430fdfcef37,1,0,59.156478999966566,59.156478999966566,59.156478999966566,59.156478999966566,69.0,0.00837577179469376,0.0,59,59,59,59,59,59,59,59,59,59,59
DELETE,/dev/items?id=00f93c29-a7b9-4616-828d-47a204a30569,1,0,195.99012900005164,195.99012900005164,195.99012900005164,195.99012900005164,64.0,0.00837577179469376,0.0,200,200,200,200,200,200,200,200,200,200,200
GET,/dev/items?id=00f93c29-a7b9-4616-828d-47a204a30569,1,0,83.45231700002387,83.45231700002387,83.45231700002387,83.45231700002387,69.0,0.00837577179469376,0.0,83,83,83,83,83,83,83,83,83,83,83
DELETE,/dev/items?id=014343f2-3c38-44d9-9f10-ee7642896d96,1,0,80.86681300005694,80.86681300005694,80.86681300005694,80.86681300005694,64.0,0.00837577179469376,0.0,81,81,81,81,81,81,81,81,81,81,81
GET,/dev/items?id=014343f2-3c38-44d9-9f10-ee7642896d96,1,0,65.95588799996221,65.95588799996221,65.95588799996221,65.95588799996221,69.0,0.00837577179469376,0.0,66,66,66,66,66,66,66,66,66,66,66
DELETE,/dev/items?id=022c6a64-5131-4959-96af-553fbf546e27,1,0,58.73393199999555,58.73393199999555,58.73393199999555,58.73393199999555,64.0,0.00837577179469376,0.0,59,59,59,59,59,59,59,59,59,59,59
GET,/dev/items?id=022c6a64-5131-4959-96af-553fbf546e27,1,0,80.2656289999959,80.2656289999959,80.2656289999959,80.2656289999959,69.0,0.00837577179469376,0.0,80,80,80,80,80,80,80,80,80,80,80
DELETE,/dev/items?id=026c06c3-bed8-45be-9027-dfb6785d3cbc,1,0,86.9123730000183,86.9123730000183,86.9123730000183,86.9123730000183,64.0,0.00837577179469376,0.0,87,87,87,87,87,87,87,87,87,87,87
GET,/dev/items?id=026c06c3-bed8-45be-9027-dfb6785d3cbc,1,0,216.45077100004073,216.45077100004073,216.45077100004073,216.45077100004073,69.0,0.00837577179469376,0.0,220,220,220,220,220,220,220,220,220,220,220
DELETE,/dev/items?id=02db4d7c-5ff8-415d-9738-27957300381d,1,0,80.30229700000291,80.30229700000291,80.30229700000291,80.30229700000291,64.0,0.00837577179469376,0.0,80,80,80,80,80,80,80,80,80,80,80
GET,/dev/items?id=02db4d7c-5ff8-415d-9738-27957300381d,1,0,55.003696999960994,55.003696999960994,55.003696999960994,55.003696999960994,69.0,0.00837577179469376,0.0,55,55,55,55,55,55,55,55,55,55,55
DELETE,/dev/items?id=02e78855-868f-439e-8e1e-06d7fe76e94f,1,0,91.43843000003926,91.43843000003926,91.43843000003926,91.43843000003926,64.0,0.00837577179469376,0.0,91,91,91,91,91,91,91,91,91,91,91
GET,/dev/items?id=02e78855-868f-439e-8e1e-06d7fe76e94f,1,0,134.1663339999286,134.1663339999286,134.1663339999286,134.1663339999286,69.0,0.00837577179469376,0.0,130,130,130,130,130,130,130,130,130,130,130
DELETE,/dev/items?id=03df022b-7abd-4505-b3ae-ea4b4f64dcb0,1,0,76.22550199994294,76.22550199994294,76.22550199994294,76.22550199994294,64.0,0.00837577179469376,0.0,76,76,76,76,76,76,76,76,76,76,76
GET,/dev/items?id=03df022b-7abd-4505-b3ae-ea4b4f64dcb0,1,0,73.55020299996795,73.55020299996795,73.55020299996795,73.55020299996795,69.0,0.00837577179469376,0.0,74,74,74,74,74,74,74,74,74,74,74
DELETE,/dev/items?id=0440ce73-38d7-491e-bbd6-9be039384ac4,1,0,74.66162499997608,74.66162499997608,74.66162499997608,74.66162499997608,64.0,0.00837577179469376,0.0,75,75,75,75,75,75,75,75,75,75,75
GET,/dev/items?id=0440ce73-38d7-491e-bbd6-9be039384ac4,1,0,81.05022799998096,81.05022799998096,81.05022799998096,81.05022799998096,69.0,0.00837577179469376,0.0,81,81,81,81,81,81,81,81,81,81,81
DELETE,/dev/items?id=050f3f10-8742-44bd-b79c-d751658f3b22,1,0,84.97524200004136,84.97524200004136,84.97524200004136,84.97524200004136,64.0,0.00837577179469376,0.0,85,85,85,85,85,85,85,85,85,85,85
GET,/dev/items?id=050f3f10-8742-44bd-b79c-d751658f3b22,1,0,58.400290999998106,58.400290999998106,58.400290999998106,58.400290999998106,69.0,0.00837577179469376,0.0,58,58,58,58,58,58,58,58,58,58,58
DELETE,/dev/items?id=05619d23-2b55-41ec-8afe-38c241f322e6,1,0,84.31443999995736,84.31443999995736,84.31443999995736,84.31443999995736,64.0,0.00837577179469376,0.0,84,84,84,84,84,84,84,84,84,84,84
GET,/dev/items?id=05619d23-2b55-41ec-8afe-38c241f322e6,1,0,56.875045999959184,56.875045999959184,56.875045999959184,56.875045999959184,69.0,0.00837577179469376,0.0,57,57,57,57,57,57,57,57,57,57,57
DELETE,/dev/items?id=05c8b982-7b12-4170-a092-868a4689d45e,1,0,92.57666899998185,92.57666899998185,92.57666899998185,92.57666899998185,64.0,0.00837577179469376,0.0,93,93,93,93,93,93,93,93,93,93,93
GET,/dev/items?id=05c8b982-7b12-4170-a092-868a4689d45e,1,0,66.31336800001009,66.31336800001009,66.31336800001009,66.31336800001009,69.0,0.00837577179469376,0.0,66,66,66,66,66,66,66,66,66,66,66
DELETE,/dev/items?id=06330c89-d97b-476e-8f13-0f562aa0d154,1,0,174.70404300001974,174.70404300001974,174.70404300001974,174.70404300001974,64.0,0.00837577179469376,0.0,170,170,170,170,170,170,170,170,170,170,170
GET,/dev/items?id=06330c89-d97b-476e-8f13-0f562aa0d154,1,0,60.09420600003068,60.09420600003068,60.09420600003068,60.09420600003068,69.0,0.00837577179469376,0.0,60,60,60,60,60,60,60,60,60,60,60
DELETE,/dev/items?id=063cc9ec-4810-4648-a78b-a1b64e849d8f,1,0,163.24916300004588,163.24916300004588,163.24916300004588,163.24916300004588,64.0,0.00837577179469376,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/dev/items?id=063cc9ec-4810-4648-a78b-a1b64e849d8f,1,0,70.40679499993985,70.40679499993985,70.40679499993985,70.40679499993985,69.0,0.00837577179469376,0.0,70,70,70,70,70,70,70,70,70,70,70
DELETE,/dev/items?id=06511150-c3ad-4b09-b3ee-cca420ae8c7d,1,0,58.68797100004031,58.68797100004031,58.68797100004031,58.68797100004031,64.0,0.00837577179469376,0.0,59,59,59,59,59,59,59,59,59,59,59
GET,/dev/items?id=06511150-c3ad-4b09-b3ee-cca420ae8c7d,1,0,79.50845300001674,79.50845300001674,79.50845300001674,79.50845300001674,69.0,0.00837577179469376,0.0,80,80,80,80,80,80,80,80,80,80,80
DELETE,/dev/items?id=06ad9442-1699-4916-8814-321767b55f14,1,0,81.06080000004567,81.06080000004567,81.06080000004567,81.06080000004567,64.0,0.00837577179469376,0.0,81,81,81,81,81,81,81,81,81,81,81
GET,/dev/items?id=06ad9442-1699-4916-8814-321767b55f14,1,0,87.50078000002759,87.50078000002759,87.50078000002759,87.50078000002759,69.0,0.00837577179469376,0.0,88,88,88,88,88,88,88,88,88,88,88
DELETE,/dev/items?id=07297b13-9b3c-4b1d-a869-d5a150e62ed3,1,0,142.5789209999948,142.5789209999948,142.5789209999948,142.5789209999948,64.0,0.00837577179469376,0.0,140,140,140,140,140,140,140,140,140,140,140
GET,/dev/items?id=07297b13-9b3c-4b1d-a869-d5a150e62ed3,1,0,80.95460399999865,80.95460399999865,80.95460399999865,80.95460399999865,69.0,0.00837577179469376,0.0,81,81,81,81,81,81,81,81,81,81,81
DELETE,/dev/items?id=07a64b06-2243-4186-9bf5-2febd2d58186,1,0,80.18652999999176,80.18652999999176,80.18652999999176,80.18652999999176,64.0,0.00837577179469376,0.0,80,80,80,80,80,80,80,80,80,80,80
GET,/dev/items?id=07a64b06-2243-4186-9bf5-2febd2d58186,1,0,83.91163300007065,83.91163300007065,83.91163300007065,83.91163300007065,69.0,0.00837577179469376,0.0,84,84,84,84,84,84,84,84,84,84,84
DELETE,/dev/items?id=07b0244f-8dec-4025-8d9a-7f7250c15561,1,0,50.817091999988406,50.817091999988406,50.817091999988406,50.817091999988406,64.0,0.00837577179469376,0.0,51,51,51,51,51,51,51,51,51,51,51
GET,/dev/items?id=07b0244f-8dec-4025-8d9a-7f7250c15561,1,0,50.21114600003784,50.21114600003784,50.21114600003784,50.21114600003784,69.0,0.00837577179469376,0.0,50,50,50,50,50,50,50,50,50,50,50
DELETE,/dev/items?id=081ab823-6f12-498a-9358-4de11e9c0ab4,1,0,60.71065100002215,60.71065100002215,60.71065100002215,60.71065100002215,64.0,0.00837577179469376,0.0,61,61,61,61,61,61,61,61,61,61,61
GET,/dev/items?id=081ab823-6f12-498a-9358-4de11e9c0ab4,1,0,61.11303099999077,61.11303099999077,61.11303099999077,61.11303099999077,69.0,0.00837577179469376,0.0,61,61,61,61,61,61,61,61,61,61,61
DELETE,/dev/items?id=08a94772-6825-4f4c-953d-5cf2bdccdb16,1,0,83.1097980000095,83.1097980000095,83.1097980000095,83.1097980000095,64.0,0.00837577179469376,0.0,83,83,83,83,83,83,83,83,83,83,83
GET,/dev/items?id=08a94772-6825-4f4c-953d-5cf2bdccdb16,1,0,68.54860800001461,68.54860800001461,68.54860800001461,68.54860800001461,69.0,0.00837577179469376,0.0,69,69,69,69,69,69,69,69,69,69,69
DELETE,/dev/items?id=0936b6b2-e768-4d64-a9eb-08aee93f2822,1,0,210.54886399997486,210.54886399997486,210.54886399997486,210.54886399997486,64.0,0.00837577179469376,0.0,210,210,210,210,210,210,210,210,210,210,210
GET,/dev/items?id=0936b6b2-e768-4d64-a9eb-08aee93f2822,1,0,81.20112500000687,81.20112500000687,81.20112500000687,81.20112500000687,69.0,0.00837577179469376,0.0,81,81,81,81,81,81,81,81,81,81,81
DELETE,/dev/items?id=096b64f2-c346-406d-9f54-9d2faaf5fdc7,1,0,54.28487500000756,54.28487500000756,54.28487500000756,54.28487500000756,64.0,0.00837577179469376,0.0,54,54,54,54,54,54,54,54,54,54,54
GET,/dev/items?id=096b64f2-c346-406d-9f54-9d2faaf5fdc7,1,0,75.68543699994734,75.68543699994734,75.68543699994734,75.68543699994734,69.0,0.00837577179469376,0.0,76,76,76,76,76,76,76,76,76,76,76
DELETE,/dev/items?id=096cc66c-c88c-49a3-89ac-0dffde042375,1,0,70.12231500004873,70.12231500004873,70.12231500004873,70.12231500004873,64.0,0.00837577179469376,0.0,70,70,70,70,70,70,70,70,70,70,70
GET,/dev/items?id=096cc66c-c88c-49a3-89ac-0dffde042375,1,0,64.08987800000432,64.08987800000432,64.08987800000432,64.08987800000432,69.0,0.00837577179469376,0.0,64,64,64,64,64,64,64,64,64,64,64
DELETE,/dev/items?id=09bd91b2-1444-4ca8-a666-fd9cf1969e06,1,0,67.96580699995047,67.96580699995047,67.96580699995047,67.96580699995047,64.0,0.00837577179469376,0.0,68,68,68,68,68,68,68,68,68,68,68
GET,/dev/items?id=09bd91b2-1444-4ca8-a666-fd9cf1969e06,1,0,68.28065700005936,68.28065700005936,68.28065700005936,68.28065700005936,69.0,0.00837577179469376,0.0,68,68,68,68,68,68,68,68,68,68,68
DELETE,/dev/items?id=0a0cb3b4-f2d5-40dc-9c16-6c3181c2cc19,1,0,179.52200000001994,179.52200000001994,179.52200000001994,179.52200000001994,64.0,0.00837577179469376,0.0,180,180,180,180,180,180,180,180,180,180,180
GET,/dev/items?id=0a0cb3b4-f2d5-40dc-9c16-6c3181c2cc19,1,0,51.13757100002658,51.13757100002658,51.13757100002658,51.13757100002658,69.0,0.00837577179469376,0.0,51,51,51,51,51,51,51,51,51,51,51
DELETE,/dev/items?id=0a500822-e586-443f-b2b8-2739221d39bc,1,0,77.02488899997206,77.02488899997206,77.02488899997206,77.02488899997206,64.0,0.00837577179469376,0.0,77,77,77,77,77,77,77,77,77,77,77
GET,/dev/items?id=0a500822-e586-443f-b2b8-2739221d39bc,1,0,88.91274299992347,88.91274299992347,88.91274299992347,88.91274299992347,69.0,0.00837577179469376,0.0,89,89,89,89,89,89,89,89,89,89,89
DELETE,/dev/items?id=0a7853d2-e92a-4a04-82b7-d28163158262,1,0,85.03468200001407,85.03468200001407,85.03468200001407,85.03468200001407,64.0,0.00837577179469376,0.0,85,85,85,85,85,85,85,85,85,85,85
GET,/dev/items?id=0a7853d2-e92a-4a04-82b7-d28163158262,1,0,80.28177100004541,80.28177100004541,80.28177100004541,80.28177100004541,69.0,0.00837577179469376,0.0,80,80,80,80,80,80,80,80,80,80,80
DELETE,/dev/items?id=0a9aa41f-9b43-498b-b1d4-2a8dc827c7dc,1,0,68.86485299992273,68.86485299992273,68.86485299992273,68.86485299992273,64.0,0.00837577179469376,0.0,69,69,69,69,69,69,69,69,69,69,69
GET,/dev/items?id=0a9aa41f-9b43-498b-b1d4-2a8dc827c7dc,1,0,80.48677900001167,80.48677900001167,80.48677900001167,80.48677900001167,69.0,0.00837577179469376,0.0,80,80,80,80,80,80,80,80,80,80,80
DELETE,/dev/items?id=0abc0b0e-654b-48e3-847c-f8937a261ca8,1,0,59.208092999938344,59.208092999938344,59.208092999938344,59.208092999938344,64.0,0.00837577179469376,0.0,59,59,59,59,59,59,59,59,59,59,59
GET,/dev/items?id=0abc0b0e-654b-48e3-847c-f8937a261ca8,1,0,72.73183899997093,72.73183899997093,72.73183899997093,72.73183899997093,69.0,0.00837577179469376,0.0,73,73,73,73,73,73,73,73,73,73,73
DELETE,/dev/items?id=0b19e116-0cda-4eaf-8013-3a6cab3d6082,1,0,155.52492099993742,155.52492099993742,155.52492099993742,155.52492099993742,64.0,0.00837577179469376,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/dev/items?id=0b19e116-0cda-4eaf-8013-3a6cab3d6082,1,0,55.70998799998961,55.70998799998961,55.70998799998961,55.70998799998961,69.0,0.00837577179469376,0.0,56,56,56,56,56,56,56,56,56,56,56
DELETE,/dev/items?id=0ba41c11-629a-497b-bf6f-65f4b855c5f0,1,0,64.98094200003379,64.98094200003379,64.98094200003379,64.98094200003379,64.0,0.00837577179469376,0.0,65,65,65,65,65,65,65,65,65,65,65
GET,/dev/items?id=0ba41c11-629a-497b-bf6f-65f4b855c5f0,1,0,61.51930800001537,61.51930800001537,61.51930800001537,61.51930800001537,69.0,0.00837577179469376,0.0,62,62,62,62,62,62,62,62,62,62,62
DELETE,/dev/items?id=0ba9f9d0-933a-48b8-94f1-5899430a7fe9,1,0,72.02416600000561,72.02416600000561,72.02416600000561,72.02416600000561,64.0,0.00837577179469376,0.0,72,72,72,72,72,72,72,72,72,72,72
GET,/dev/items?id=0ba9f9d0-933a-48b8-94f1-5899430a7fe9,1,0,59.14968299998691,59.14968299998691,59.14968299998691,59.14968299998691,69.0,0.00837577179469376,0.0,59,59,59,59,59,59,59,59,59,59,59
DELETE,/dev/items?id=0bf495e9-9fff-478d-850f-72b7c20b1b35,1,0,159.7248990000253,159.7248990000253,159.7248990000253,159.7248990000253,64.0,0.00837577179469376,0.0,160,160,160,160,160,160,160,160,160,160,160
GET,/dev/items?id=0bf495e9-9fff-478d-850f-72b7c20b1b35,1,0,72.43024299998524,72.43024299998524,72.43024299998524,72.43024299998524,69.0,0.00837577179469376,0.0,72,72,72,72,72,72,72,72,72,72,72
